,fe1ea8ce-193d-42da-8ff8-62d0522abe8c,2c179244-8bf2-4772-8940-97d8cb347fda,202ac868-0e26-4d2e-8712-649eeb8c73d8,67c448b6-1d2c-477c-8a86-20e356d3c3fe,29ccea15-fe1f-4416-aa19-24af34f5513c,5504ff3c-686b-46c5-be4d-abdc7720857a,10c4d62f-60c4-487e-bf0a-9d01a0f3e97e,b19edbeb-0d44-4c12-9a79-007efa81dcbf,cca8a6f1-b61f-4b17-b153-6eee8f2a1403,5c0758f1-971d-4aee-8862-a70c9a5330cf,52647f9e-b0b0-4f6b-b2ab-ff93212a5efc,e91a7e6a-ac4e-4c8d-b83c-ce778f7e240e,0bf6834d-ea67-4304-8a20-23a3b230bf76,c0be8024-ec7d-4660-9e45-4338623a898c,82548928-c387-4af6-8a38-733e9a0d7224,30ed6902-4937-42c6-bc3f-49b433ad7dbd,27101ebb-ba5d-45d9-9077-cdaca18a7485,89fbe591-4dd4-4975-892e-180305fdffc5,75f72d0c-126e-40b2-ba6e-17f2240665d2,746b8255-7b99-4a5e-b641-385af537db10,15f53c31-772d-4c98-86da-bb5f9b5cb3cd,3b72890e-1833-47a5-a62c-ffa15d368e4f,f6daad1c-94e8-46f2-b229-c913435e57dc,794fcbf6-cb65-4e9d-889c-acf2110db7a8,740a6d91-7f20-47be-a48e-7aeb657ade4e,ff6d2613-031f-4af3-8540-1807d18fe31b,8c7e1f14-5cce-44a0-af41-6e41d46c83ee,fa28540b-d238-4398-8cea-0c5280515e09,202da7da-224c-4054-96ef-070d53d31087,6a831ba8-b607-467b-88de-a889beecad0c,604746d6-5f50-4743-bf26-ec4f4f10be2f,c47fa8e5-b0ba-425a-8068-c8153dbfc911,68b92187-69c0-4e73-aa69-0557299f1282,6ec35d03-77ec-4606-921e-bdcc09976d98,697fa9df-3a8f-4e77-a0ee-d3c1bfe358f6,d8985c74-76e9-4456-b552-4aec8739a898,e0d4baf4-20e5-4d88-9561-c3f263e72688,a6865dd6-904e-4966-b18b-4e3888069400,2c3bc4b4-0157-4ae9-98cd-945918743e8d,432b981d-6e9d-41c6-ba40-204249266a5b
5f084338-4531-4ed0-9f9c-829980c2e591,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-30,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-30,1000
9df5990d-1e95-4225-94e1-c786380a216a,-5,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000,-5,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000
86a511a2-1931-45af-bc66-9539cbdc3ebb,-5,0,1000,1000,-100,1000,-10,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,-100,1000,-10,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000
7480f031-c1da-4152-acc8-05e69ccc27ed,-10,-5,-100,1000,1000,1000,1000,1000,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,-10,-5,-100,1000,1000,1000,1000,1000,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000
83653e8a-6fb8-480a-a107-8f1f3a4d3e54,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,-30,-5,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,-30,-5,1000,1000
4da266f1-5fa4-4bf6-90b6-b03a3987c795,-100,1000,1000,-30,-5,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,0,1000,-100,1000,1000,-30,-5,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,0,1000
cab3fe6e-09c6-411e-bccb-907d98cef011,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-30,-100,1000,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-30,-100,1000
3e680503-1015-4601-8626-0942a875f056,-100,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,-100,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10
31fafb4a-769a-4a6e-8740-5fab4b4c2b6a,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,-100,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,-100,-5,1000,1000,1000,1000,1000
ed665a2e-8ab9-4c12-b105-256adf5d0436,1000,1000,1000,1000,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-5,1000,1000,1000,1000,1000,1000,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-5,1000,1000
f2bba6da-8521-48c7-917d-b8a3f412f2d2,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,1000,1000,1000,-10
d0f8fa66-17fe-4ee2-a80b-1875dffe12b1,-100,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,1000,-100,-5,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,1000
71609b23-9c51-492d-9330-91f6de519ace,-100,1000,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,-100,1000,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-5,1000
752eaedf-dc6b-4c69-a81b-0015fe1cd40d,-100,1000,-10,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-100,1000,-10,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000
f8567213-77c5-414c-a9c7-73733989b4a8,1000,1000,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-10,-5,1000,1000,1000,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-10,-5,1000
dde84d8f-d759-408a-959b-83894abcfb16,1000,-100,1000,1000,0,1000,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,1000,1000,1000,-30,1000,-100,1000,1000,0,1000,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,1000,1000,1000,-30
7516d3cf-51af-40e0-9bbd-6d7713e4bc5b,1000,1000,1000,1000,1000,1000,-30,1000,0,1000,1000,-100,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,0,1000,1000,-100,-5,1000,1000,-10,1000,1000,1000,1000
6b4922b6-9b36-4c48-ac00-37adc3667370,1000,-10,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,0,1000,1000,1000,-10,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,0,1000,1000
df70011d-1120-4256-bda2-540995bf428b,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,-10,1000,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,-10,1000,1000
9471369e-f164-45fe-affb-225d08644a02,0,1000,-10,1000,1000,1000,1000,-5,1000,1000,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,-5,1000,1000,1000,-100,-30,1000,1000,1000,1000,1000,1000,1000
fe9b2f6c-4942-4238-940b-c8a2c228e1ec,1000,1000,1000,-100,-5,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-30,1000,1000,1000
66b04ca9-5fcf-4fa3-bec1-12e048ab2c2a,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,-5,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,-10,-5
338644a2-20d6-42c6-a98d-8c07b7e2b1b9,1000,-100,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-5,1000,-100,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-5
21512680-3b5c-4c6d-9646-b4e6560c499d,1000,-5,-100,-30,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,-30,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000
c514beb9-1966-4767-bb43-9153de84a024,1000,1000,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-5,-10,1000,1000,1000,1000,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-5,-10,1000
544a76a2-63ed-4cc4-9383-5a36d1174bdc,-10,-5,-30,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,-10,-5,-30,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000
0dbd272a-413f-4952-8e73-6ac688c3b612,-30,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,0,-100,-30,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,0,-100
6eb9ac6e-4b9f-45a0-b8c1-6bc1e6946913,-5,1000,1000,-100,-30,1000,0,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-100,-30,1000,0,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000
dc9918a0-8301-41dd-8447-f4abebc008c9,-100,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,-100,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000
69369b9f-f035-4498-8b0a-379b5952f2de,-100,-30,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000,-100,-30,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000
b8b82558-8d7f-4201-8517-e6ee74cff44a,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-10,0,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-10,0,-30,1000
2b7039b5-65ce-432b-ab04-21bf750bd17e,1000,-100,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,-30,1000,1000,1000,0,1000,1000,1000,-100,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,-30,1000,1000,1000,0,1000,1000
4f0a90f2-b42a-4023-8a29-16aad5e03971,-100,-30,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-100,-30,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000
4c55d6f2-e4ed-4815-b3a1-b7c7cc991e2e,1000,1000,1000,-5,1000,1000,1000,0,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-5,1000,1000,1000,0,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100
a5075227-8fcc-4bfd-b794-2b86a4c5f561,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,-5,-30,-100,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,-5,-30,-100
f6868c9e-a875-4448-8f63-a21b71506118,-100,1000,1000,1000,1000,1000,1000,1000,-5,1000,0,1000,1000,-30,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,-5,1000,0,1000,1000,-30,1000,1000,1000,1000,-10,1000
55b8c0e3-11dd-4ffb-8ac1-4e6d04dab7e9,-100,-30,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000,-100,-30,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,0,1000,1000,1000,1000,1000
94d28f0a-f293-4a23-9650-16e02c1e18d5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,-30,-100,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,-30,-100
417e756d-4526-49ef-b87b-2ab6248569e3,1000,-100,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,-10,1000,-100,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,-10
28a3ab83-a850-464f-9cf9-a040dd1122a2,-30,1000,1000,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000,-30,1000,1000,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-10,1000,1000
e61a6be2-c76c-4020-8954-7fca467521dd,-100,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,-100,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5
a178c24c-3ef8-4e58-b087-9efcf477c90c,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-5,1000,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-5,1000,1000
fb02e402-227f-451f-a896-38e4ba15762c,1000,0,1000,1000,1000,1000,1000,-5,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,-5,-10,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,-100
b949921f-61df-407d-8702-70c7f8daa26b,-100,-5,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-30,-100,-5,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-30
815e57bc-2bda-43f6-a4b8-e890f4eb656a,1000,1000,1000,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,0,1000,-5,1000,1000,1000,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,0,1000,-5
e9b292c4-ab4f-411f-b95b-54ceb68218c0,0,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10
aea08b81-1680-44d4-b16d-528fe128c0a0,0,1000,-5,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-30,0,1000,-5,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-30
184f61c5-fbcf-4b9c-a392-5f66ce29c58f,-30,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,-100,1000,-30,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,-100,1000
41207b67-f991-49db-ac37-d16bcdc14f1f,-10,1000,1000,-100,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,-100,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
913f4047-fe86-49d6-96d1-f9de0e51fc54,1000,-100,-30,1000,-5,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-100,-30,1000,-5,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000
badde165-550a-4591-9da9-d63c0a215c80,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-10,-5,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-10,-5
99b2c426-9f82-4735-a878-a77f0e2a3cc3,-100,-5,-30,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-100,-5,-30,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000
821186c8-2c75-4750-8ce9-e86b2ee677fc,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,1000,-30,1000,1000,-5,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,1000,-10,1000,-30,1000,1000,-5,1000,1000
9d2be7f7-2d98-4cee-9fd2-c276b7421c24,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,-30
93d91779-7955-4560-89e8-afdd7c156638,1000,-100,1000,1000,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-30,1000,-100,1000,1000,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-30
a933f883-930e-4cc0-94a8-c2fc25679edf,0,1000,1000,1000,-10,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-100,1000,-30,0,1000,1000,1000,-10,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-100,1000,-30
1e4f4ba7-2e2a-4502-a5e5-1dbf91c01664,1000,1000,1000,-5,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,-5,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000
80bcae49-3f05-4c45-8dc2-6019e3a63d6b,-10,1000,1000,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000,-10,1000,1000,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,-100,1000,1000
ebb368cc-8833-46af-94be-c45a89ab9f10,-10,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-10,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000
805da2c1-b5cc-4320-848e-a7888eb15f87,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-10,1000,1000,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-10,1000,1000
abbe598c-2eea-48b6-924d-5ec810c3cacf,1000,1000,1000,-10,1000,-5,1000,1000,1000,1000,0,1000,1000,1000,-30,1000,-100,1000,1000,1000,1000,1000,1000,-10,1000,-5,1000,1000,1000,1000,0,1000,1000,1000,-30,1000,-100,1000,1000,1000
1a3fd823-4e3d-4d13-a6ec-8a5b9086e43f,-10,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,0,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,0,1000,1000,1000,-100,1000,1000
765abbd5-9616-48aa-bb58-df33e6049502,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,-30,-100,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,-30,-100
a85a94a1-ad72-42f2-8ff6-f7dcd10ac8ef,1000,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,0,1000,1000,1000,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,0,1000,1000
607c0a86-5334-47e4-acb3-ca34b6f1ad4e,1000,1000,-100,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-30,1000,0,1000,1000,-100,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,-30,1000,0
97e139c4-8cce-4739-a987-c719594493ce,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,-10,1000,1000,-5,1000,-30,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,-10,1000
5d8c952d-6bde-4c3f-8fec-84560a9f3c88,1000,-100,1000,1000,-10,1000,0,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,-100,1000,1000,-10,1000,0,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000
093a6dc6-9eb3-4890-855a-0f09ea782d49,1000,1000,1000,-100,-30,1000,1000,1000,-5,1000,-10,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-30,1000,1000,1000,-5,1000,-10,1000,0,1000,1000,1000,1000,1000,1000,1000
c8b85f93-37d3-4179-acf5-982d18c5018e,1000,1000,-100,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-30,1000,1000,-100,-10,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-30
