,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2863,30,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,100
2865,5,-1000,-1000,100,30,-1000,0,-1000,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
2867,100,10,-1000,-1000,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,30,-1000
2868,100,30,-1000,-1000,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,10,-1000
2869,-1000,-1000,-1000,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,10,0,30,-1000
2871,-1000,100,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,30,-1000,-1000,-1000,0,-1000,-1000
2873,100,30,10,5,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000
2875,-1000,-1000,-1000,5,-1000,-1000,-1000,0,10,-1000,30,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,100
2876,-1000,-1000,10,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,-1000,-1000,-1000,5,30,100
2878,100,-1000,-1000,-1000,-1000,-1000,-1000,-1000,5,-1000,0,-1000,-1000,30,-1000,-1000,-1000,-1000,10,-1000
