                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
A_5/15/2022 22:22:30,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,    3,     0,     0,     2,     0,     0,     0,     5,     1,     0,    0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,    3,     0,     0,     2,     0,     0,     0,     5,     1,     0,    0,     0
A_5/15/2022 22:32:22,     5,     2,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0,     5,     2,     0,     0,     0,     0,     0,    3,     0,     0,    0,     0,     0,     4,     0,     0,     0,     0,     1,     0,    0,     0
A_5/16/2022 9:40:00 ,     0,     0,     0,     0,     0,     1,     0,    0,     0,     5,    3,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     5,    3,     0,     0,     0,     4,     0,     0,     0,     2,     0,    0,     0
A_5/16/2022 12:39:20,     0,     0,     0,     0,     3,     0,     5,    0,     0,     0,    4,     0,     0,     2,     0,     0,     0,     3,     0,     0,    0,     1,     0,     0,     0,     0,     3,     0,     5,    0,     0,     0,    4,     0,     0,     2,     0,     0,     0,     3,     0,     0,    0,     1
A_5/16/2022 16:27:01,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     2,     0,     0,     1,     3,     0,    0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     2,     0,     0,     1,     3,     0,    0,     0
A_5/16/2022 16:39:00,     0,     2,     0,     0,     0,     0,     0,    4,     0,     0,    0,     0,     0,     0,     5,     0,     3,     0,     0,     1,    0,     0,     0,     2,     0,     0,     0,     0,     0,    4,     0,     0,    0,     0,     0,     0,     5,     0,     3,     0,     0,     1,    0,     0
A_5/16/2022 17:26:30,     0,     2,     0,     0,     0,     0,     5,    0,     4,     0,    3,     1,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     0,     5,    0,     4,     0,    3,     1,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_5/16/2022 17:29:30,     0,     2,     1,     3,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0,     0,     2,     1,     3,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    0,     0
A_5/17/2022 10:32:45,     0,     2,     4,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0,     0,     2,     4,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     5,     0,     0,     0,     0,     0,     0,    0,     0
A_5/17/2022 12:44:56,     0,     4,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     1,     0,     0,     0,    0,     0,     0,     4,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     5,     0,     3,     0,     1,     0,     0,     0,    0,     0
