                    , A_C10, A_C11, A_C13, A_C14, A_C15, A_C19, A_C17, A_J2, A_J21, A_C12, A_C1, A_C18, A_J26, A_J29, A_J27, A_J28, A_J25, A_J24, A_J23, A_J22, A_J1, B_J20, B_C10, B_C11, B_C13, B_C14, B_C15, B_C19, B_C17, B_J2, B_J21, B_C12, B_C1, B_C18, B_J26, B_J29, B_J27, B_J28, B_J25, B_J24, B_J23, B_J22, B_J1, B_J20
A_6/28/2022 19:49:39,     0,     0,     0,     0,     4,     0,     0,    0,     2,     0,    5,     0,     3,     0,     3,     0,     0,     0,     1,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,    0,     2,     0,    5,     0,     3,     0,     3,     0,     0,     0,     1,     0,    0,     0
A_6/17/2022 22:04:33,     4,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     2,     0,     0,     3,     0,     0,     0,     1,     0,    0,     0,     4,     0,     0,     0,     0,     5,     0,    0,     0,     0,    0,     2,     0,     0,     3,     0,     0,     0,     1,     0,    0,     0
A_6/19/2022 12:41:22,     0,     2,     0,     1,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     3,     0,    5,     0,     0,     2,     0,     1,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     3,     0,    5,     0
A_6/19/2022 15:01:52,     0,     5,     0,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     2,     0,    4,     0,     0,     5,     0,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     2,     0,    4,     0
A_6/19/2022 20:57:53,     0,     1,     4,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     0,     0,     0,    5,     0,     0,     1,     4,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     0,     0,     0,    5,     0
A_6/20/2022 11:22:34,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     0,     0,     0,     0,     0,     1,    0,     0
A_6/20/2022 13:58:37,     0,     5,     0,     0,     0,     0,     0,    0,     3,     0,    0,     0,     0,     0,     0,     4,     0,     1,     0,     0,    2,     0,     0,     5,     0,     0,     0,     0,     0,    0,     3,     0,    0,     0,     0,     0,     0,     4,     0,     1,     0,     0,    2,     0
A_6/20/2022 20:19:46,     0,     5,     0,     1,     0,     0,     0,    0,     3,     0,    2,     4,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,     5,     0,     1,     0,     0,     0,    0,     3,     0,    2,     4,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_6/21/2022 15:05:35,     5,     3,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     4,     0,    1,     0,     5,     3,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     4,     0,    1,     0
A_6/21/2022 18:05:13,     5,     3,     0,     0,     4,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     2,     5,     3,     0,     0,     4,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     2
A_6/22/2022 4:46:49 ,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     2,     0,     5,    3,     0,     0,     4,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     2,     0,     5,    3,     0
A_6/23/2022 1:26:47 ,     4,     0,     0,     0,     0,     0,     3,    0,     2,     0,    0,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     1,     4,     0,     0,     0,     0,     0,     3,    0,     2,     0,    0,     0,     0,     0,     0,     0,     5,     0,     0,     0,    0,     1
A_6/23/2022 15:43:01,     0,     2,     3,     0,     4,     0,     0,    0,     0,     0,    1,     0,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,     2,     3,     0,     4,     0,     0,    0,     0,     0,    1,     0,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0
A_6/23/2022 16:58:17,     0,     0,     0,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     1,     0,     0,     2,     4,     0,    5,     0,     0,     0,     0,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     1,     0,     0,     2,     4,     0,    5,     0
A_6/24/2022 9:48:50 ,     3,     0,     0,     5,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     0,     0,     0,     2,     1,     0,    0,     0,     3,     0,     0,     5,     0,     0,     0,    0,     0,     0,    0,     0,     4,     0,     0,     0,     0,     2,     1,     0,    0,     0
A_6/29/2022 21:09:42,     0,     3,     0,     4,     0,     0,     0,    0,     0,     0,    2,     1,     0,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,     3,     0,     4,     0,     0,     0,    0,     0,     0,    2,     1,     0,     0,     0,     0,     0,     5,     0,     0,    0,     0
A_6/25/2022 9:27:08 ,     0,     0,     0,     5,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     1,     4,     0,    3,     2,     0,     0,     0,     5,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     1,     4,     0,    3,     2
A_6/25/2022 9:27:08 ,     5,     0,     0,     1,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     0,     5,     0,     0,     1,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     0
A_6/25/2022 17:12:40,     0,     4,     3,     0,     5,     0,     0,    1,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,     4,     3,     0,     5,     0,     0,    1,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0
A_6/26/2022 10:51:55,     3,     4,     5,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     2,     1,    0,     0,     3,     4,     5,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     2,     1,    0,     0
A_6/26/2022 20:56:26,     0,     2,     3,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     5,     0,     2,     3,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     4,     0,     0,     0,     0,     0,    0,     5
A_6/26/2022 23:53:14,     0,     0,     4,     3,     0,     1,     0,    0,     0,     0,    0,     5,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0,     0,     0,     4,     3,     0,     1,     0,    0,     0,     0,    0,     5,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0
A_6/27/2022 10:23:18,     3,     5,     0,     1,     0,     0,     0,    4,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     0,     0,    0,     0,     3,     5,     0,     1,     0,     0,     0,    4,     0,     0,    0,     0,     2,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_6/27/2022 15:20:11,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     0,     3,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0
A_6/27/2022 16:04:38,     0,     3,     0,     0,     0,     0,     0,    0,     2,     0,    4,     5,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,    0,     2,     0,    4,     5,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0
A_6/27/2022 16:07:52,     0,     2,     0,     0,     0,     0,     0,    0,     5,     0,    3,     0,     1,     0,     0,     0,     0,     0,     4,     0,    0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     5,     0,    3,     0,     1,     0,     0,     0,     0,     0,     4,     0,    0,     0
A_6/27/2022 16:52:42,     4,     0,     0,     5,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     3,     0,    0,     0,     4,     0,     0,     5,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     1,     3,     0,    0,     0
A_6/27/2022 17:13:40,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     4,    2,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     5,     0,     0,     0,     1,     4,    2,     0
A_6/27/2022 18:59:09,     0,     1,     0,     0,     3,     0,     4,    0,     0,     0,    2,     0,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0,     0,     1,     0,     0,     3,     0,     4,    0,     0,     0,    2,     0,     0,     0,     5,     0,     0,     0,     0,     0,    0,     0
A_6/28/2022 6:39:46 ,     0,     0,     0,     2,     3,     0,     0,    0,     0,     0,    1,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     4,     0,     0,     0,     2,     3,     0,     0,    0,     0,     0,    1,     0,     5,     0,     0,     0,     0,     0,     0,     0,    0,     4
A_6/28/2022 12:18:08,     0,     2,     0,     0,     0,     0,     0,    0,     0,     0,    0,     3,     0,     0,     5,     1,     4,     0,     0,     0,    0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0,     0,    0,     3,     0,     0,     5,     1,     4,     0,     0,     0,    0,     0
A_6/28/2022 12:33:33,     0,     0,     0,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     2,     0,     0,     4,     0,    5,     0,     0,     0,     0,     3,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     2,     0,     0,     4,     0,    5,     0
A_6/28/2022 15:09:53,     0,     4,     0,     3,     0,     5,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     0,     0,     4,     0,     3,     0,     5,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     0
A_6/28/2022 15:14:11,     0,     4,     0,     0,     0,     0,     2,    0,     0,     0,    0,     0,     5,     0,     0,     0,     0,     3,     0,     0,    1,     0,     0,     4,     0,     0,     0,     0,     2,    0,     0,     0,    0,     0,     5,     0,     0,     0,     0,     3,     0,     0,    1,     0
A_6/30/2022 18:59:01,     0,     2,     0,     0,     0,     2,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     3,     0,     0,     0,    4,     1,     0,     2,     0,     0,     0,     2,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     3,     0,     0,     0,    4,     1
A_6/28/2022 18:39:55,     0,     0,     2,     4,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,     0,     2,     4,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0
A_6/28/2022 21:55:32,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     1,     0,     4,     0,     0,     2,     0,     0,    0,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     1,     0,     4,     0,     0,     2,     0,     0,    0,     0
A_6/29/2022 2:07:40 ,     4,     0,     0,     1,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     0,     0,    2,     0,     4,     0,     0,     1,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     0,     0,    2,     0
A_6/29/2022 7:16:20 ,     0,     0,     3,     0,     4,     1,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     0,     2,    0,     0,     0,     0,     3,     0,     4,     1,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     0,     2,    0,     0
A_6/29/2022 7:29:35 ,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    5,     4,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     1,     0,    5,     4
A_6/29/2022 8:38:23 ,     0,     2,     0,     0,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     4,     0,     0,    0,     3,     0,     2,     0,     0,     0,     0,     5,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     4,     0,     0,    0,     3
A_6/29/2022 11:42:08,     0,     3,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     0,     0,     4,     0,     0,     0,     5,     1,    0,     0,     0,     3,     0,     0,     2,     0,     0,    0,     0,     0,    0,     0,     0,     0,     4,     0,     0,     0,     5,     1,    0,     0
A_6/29/2022 15:05:06,     0,     3,     0,     0,     5,     0,     0,    4,     0,     0,    1,     0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0,     0,     3,     0,     0,     5,     0,     0,    4,     0,     0,    1,     0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     0
A_6/29/2022 15:21:33,     0,     0,     3,     1,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     0,     0,     0,     4,     0,    0,     0,     0,     0,     3,     1,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     5,     0,     0,     0,     4,     0,    0,     0
A_6/29/2022 15:42:01,     0,     0,     0,     0,     1,     0,     0,    5,     0,     0,    0,     4,     0,     0,     2,     0,     3,     0,     0,     0,    0,     0,     0,     0,     0,     0,     1,     0,     0,    5,     0,     0,    0,     4,     0,     0,     2,     0,     3,     0,     0,     0,    0,     0
A_6/29/2022 15:52:24,     4,     0,     0,     0,     0,     0,     0,    1,     0,     0,    5,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     3,     4,     0,     0,     0,     0,     0,     0,    1,     0,     0,    5,     0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     3
A_6/29/2022 16:41:59,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     1,     0,    5,     0,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     1,     0,    5,     0
A_6/29/2022 17:11:27,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    5,     0,     0,     3,     0,     0,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     4,     0,     0,     0,     2,     0,    5,     0
A_6/29/2022 18:47:19,     0,     0,     3,     0,     0,     4,     0,    0,     0,     0,    0,     0,     0,     0,     5,     2,     0,     0,     1,     0,    0,     0,     0,     0,     3,     0,     0,     4,     0,    0,     0,     0,    0,     0,     0,     0,     5,     2,     0,     0,     1,     0,    0,     0
A_6/30/2022 11:05:23,     0,     0,     4,     0,     3,     0,     0,    0,     0,     0,    0,     0,     5,     0,     0,     0,     0,     1,     0,     2,    0,     0,     0,     0,     4,     0,     3,     0,     0,    0,     0,     0,    0,     0,     5,     0,     0,     0,     0,     1,     0,     2,    0,     0
A_6/29/2022 19:13:09,     0,     0,     0,     0,     3,     0,     0,    0,     4,     0,    0,     2,     0,     0,     0,     5,     0,     1,     0,     0,    0,     0,     0,     0,     0,     0,     3,     0,     0,    0,     4,     0,    0,     2,     0,     0,     0,     5,     0,     1,     0,     0,    0,     0
A_6/29/2022 19:36:29,     0,     1,     0,     0,     3,     0,     4,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     5,     0,     1,     0,     0,     3,     0,     4,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     5
A_6/29/2022 19:36:45,     1,     3,     2,     5,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    4,     0,     1,     3,     2,     5,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    4,     0
A_6/29/2022 19:46:45,     0,     4,     0,     3,     0,     0,     0,    0,     0,     0,    0,     1,     0,     0,     5,     0,     2,     0,     0,     0,    0,     0,     0,     4,     0,     3,     0,     0,     0,    0,     0,     0,    0,     1,     0,     0,     5,     0,     2,     0,     0,     0,    0,     0
A_6/29/2022 21:21:57,     0,     3,     5,     0,     0,     0,     0,    2,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0,     0,     3,     5,     0,     0,     0,     0,    2,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     1,     0,    0,     0
A_6/29/2022 22:33:47,     5,     0,     0,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     4,     5,     0,     0,     3,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     2,     1,     0,    0,     4
A_6/29/2022 23:57:57,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     4,     0,     0,     0,     0,     3,     5,     0,     2,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     4,     0,     0,     0,     0,     3,     5,     0,     2,    0,     0
A_6/30/2022 0:12:46 ,     3,     0,     0,     0,     0,     0,     2,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     5,     0,    0,     1,     3,     0,     0,     0,     0,     0,     2,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     0,     5,     0,    0,     1
A_6/30/2022 10:34:05,     0,     5,     4,     0,     3,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     1,     0,     0,    0,     0,     0,     5,     4,     0,     3,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     1,     0,     0,    0,     0
A_6/30/2022 10:54:16,     0,     0,     5,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     1,     0,     3,     4,     0,    2,     0,     0,     0,     5,     0,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     1,     0,     3,     4,     0,    2,     0
A_6/30/2022 11:44:25,     2,     3,     5,     0,     0,     1,     4,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     2,     3,     5,     0,     0,     1,     4,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_6/30/2022 11:57:06,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     0,     0,     3,    0,     0,     0,     0,     0,     0,     1,     0,     0,    0,     0,     0,    0,     0,     0,     0,     2,     0,     0,     0,     0,     3,    0,     0
A_6/30/2022 13:26:55,     0,     1,     0,     5,     0,     0,     2,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     3,     0,     0,    0,     0,     0,     1,     0,     5,     0,     0,     2,    0,     0,     0,    4,     0,     0,     0,     0,     0,     0,     3,     0,     0,    0,     0
A_6/30/2022 13:58:30,     0,     5,     0,     3,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     0,     4,     0,     1,     0,     0,    0,     0,     0,     5,     0,     3,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     0,     4,     0,     1,     0,     0,    0,     0
A_6/30/2022 16:50:07,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     1,     0,    0,     4,     3,     0,     0,     2,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     1,     0,    0,     4
A_6/30/2022 16:50:07,     0,     1,     0,     0,     0,     3,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     5,     2,     0,    0,     0,     0,     1,     0,     0,     0,     3,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     4,     5,     2,     0,    0,     0
A_6/30/2022 16:52:42,     0,     4,     0,     5,     0,     2,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     1,     0,     4,     0,     5,     0,     2,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     1
A_6/30/2022 16:59:35,     0,     0,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     5,     4,     0,     0,    3,     0,     0,     0,     0,     2,     0,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     5,     4,     0,     0,    3,     0
A_6/30/2022 19:54:08,     0,     4,     0,     0,     0,     0,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     3,     2,     1,     0,    0,     0,     0,     4,     0,     0,     0,     0,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     3,     2,     1,     0,    0,     0
A_6/30/2022 21:31:06,     0,     2,     0,     0,     0,     0,     0,    0,     1,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    5,     3,     0,     2,     0,     0,     0,     0,     0,    0,     1,     0,    0,     0,     0,     0,     0,     0,     4,     0,     0,     0,    5,     3
A_6/30/2022 21:51:22,     4,     1,     5,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0,     4,     1,     5,     3,     0,     0,     0,    0,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     0
A_6/30/2022 22:06:21,     0,     2,     3,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     5,     0,     1,     0,     0,     0,    0,     0,     0,     2,     3,     0,     0,     0,     0,    0,     0,     0,    4,     0,     0,     0,     5,     0,     1,     0,     0,     0,    0,     0
A_6/30/2022 23:41:09,     1,     0,     3,     4,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     0,     1,     0,     3,     4,     0,     5,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    2,     0
A_7/1/2022 11:05:25 ,     4,     1,     2,     0,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     0,     0,     0,     3,     0,     0,    0,     0,     4,     1,     2,     0,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     0,     0,     0,     3,     0,     0,    0,     0
A_7/1/2022 11:23:25 ,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     3,     0,     4,    0,     2,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     3,     0,     4,    0,     2
A_7/3/2022 14:58:49 ,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     4,     2,     1,     0,    0,     3,     0,     0,     0,     0,     0,     0,     0,    0,     0,     0,    5,     0,     0,     0,     0,     0,     4,     2,     1,     0,    0,     3
A_8/11/2022 11:48:48,     0,     0,     0,     0,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     2,     4,    0,     1,     0,     0,     0,     0,     0,     0,     0,    5,     0,     0,    0,     0,     0,     0,     3,     0,     0,     0,     2,     4,    0,     1
A_7/4/2022 12:40:58 ,     0,     4,     0,     0,     3,     0,     0,    0,     0,     0,    2,     0,     1,     0,     0,     0,     0,     5,     0,     0,    0,     0,     0,     4,     0,     0,     3,     0,     0,    0,     0,     0,    2,     0,     1,     0,     0,     0,     0,     5,     0,     0,    0,     0
A_7/6/2022 8:54:06  ,     2,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     0,     0,    1,     0,     2,     0,     0,     0,     4,     3,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     5,     0,     0,    1,     0
A_7/6/2022 9:02:28  ,     0,     0,     0,     2,     0,     0,     0,    0,     5,     0,    0,     0,     0,     0,     4,     3,     0,     0,     1,     0,    0,     0,     0,     0,     0,     2,     0,     0,     0,    0,     5,     0,    0,     0,     0,     0,     4,     3,     0,     0,     1,     0,    0,     0
A_7/6/2022 12:33:28 ,     0,     0,     0,     0,     2,     0,     0,    3,     0,     0,    1,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0,     0,     0,     0,     0,     2,     0,     0,    3,     0,     0,    1,     0,     5,     0,     0,     0,     0,     0,     0,     0,    4,     0
A_7/6/2022 18:11:19 ,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     4,     0,     0,     5,     0,     1,    0,     0,     0,     0,     0,     0,     0,     2,     0,    0,     0,     0,    3,     0,     0,     0,     4,     0,     0,     5,     0,     1,    0,     0
A_7/7/2022 12:12:01 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     0,     5,     0,     3,     0,     0,    0,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    0,     2,     0,     0,     0,     5,     0,     3,     0,     0,    0,     0
A_7/7/2022 19:48:25 ,     0,     4,     2,     0,     5,     0,     0,    3,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1,     0,     4,     2,     0,     5,     0,     0,    3,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    0,     1
A_7/7/2022 23:31:21 ,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,    0,     4,     3,     0,     1,     0,     0,     5,     0,     0,    0,     0,     0,     0,     0,     0,     2,     0,     0,    0,     0,     0,    0,     4,     3,     0,     1,     0,     0,     5,     0,     0,    0,     0
A_7/8/2022 12:27:35 ,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    3,     0,     5,     0,     0,     0,     0,     0,     0,     2,    4,     0,     0,     1,     0,     0,     0,     0,     0,    0,     0,     0,    3,     0,     5,     0,     0,     0,     0,     0,     0,     2,    4,     0
A_7/8/2022 12:47:31 ,     2,     0,     0,     0,     5,     4,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     3,    0,     0,     2,     0,     0,     0,     5,     4,     0,    0,     0,     0,    1,     0,     0,     0,     0,     0,     0,     0,     0,     3,    0,     0
A_7/8/2022 13:26:33 ,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     1,     0,     0,     0,     0,     0,    0,     4,     0,     0,     0,     0,     0,     0,     0,    3,     0,     0,    2,     0,     5,     0,     1,     0,     0,     0,     0,     0,    0,     4
A_7/8/2022 15:58:17 ,     0,     2,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     4,     0,     2,     0,     0,     0,     0,     0,    0,     3,     0,    1,     0,     0,     0,     0,     0,     0,     5,     0,     0,    0,     4
A_7/9/2022 17:18:01 ,     2,     5,     0,     1,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     4,     2,     5,     0,     1,     0,     0,     0,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0,     0,     0,    3,     4
A_7/10/2022 16:56:41,     0,     2,     0,     0,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     3,     0,     5,     1,     0,     0,    0,     0,     0,     2,     0,     0,     0,     0,     0,    0,     4,     0,    0,     0,     0,     0,     3,     0,     5,     1,     0,     0,    0,     0
A_7/11/2022 10:04:36,     0,     1,     0,     0,     4,     0,     0,    3,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     5,    0,     0,     0,     1,     0,     0,     4,     0,     0,    3,     0,     0,    2,     0,     0,     0,     0,     0,     0,     0,     0,     5,    0,     0
A_7/11/2022 10:14:04,     0,     1,     0,     0,     0,     0,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     3,     0,     1,     0,     0,     0,     0,     5,    0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     4,     0,     0,    2,     3
