,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Reproduction in the 21st Century, Prof. Tina McKittrick","Magic Bullets: The Role and Limitations of Science in Medicine, Prof. Adam Cassano","Sacred Wisdom, Prof. Chris Taylor","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Shock: The Theatre of The Grand-guignol & Its Legacy, Prof. Andy Elliott","American Inequality, Prof. Jason Jordan","The Evolution of the Hero, Prof. John Muccigrosso","Film and the City, Prof. Muriel Placet-Kouassi","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","#Democracy & Digital Citizenship, Prof. Elias Ortega-Aponte","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Latinos/as in Hollywood, Prof. Raul Rosales","Forty Studies That Changed Psychology, Prof. Patrick Dolan","The American Politician, Prof. Phil Mundo","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Strangers at the Shore: Politics of Immigration, Prof. Sangay Mishra"
75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,0
76,0,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,4,0,0,1
77,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,5,0,3
78,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0
79,1,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,0,0
80,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,5,1,0,0,0,0,0,0
81,0,2,5,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0
82,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,3,2,0,0,0,0,0
83,0,0,5,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,4,0,0,0
84,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,1,4,0,0,0,0
85,0,0,0,0,0,0,0,5,0,0,0,0,2,4,0,3,0,1,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,0,0
87,0,0,0,0,0,5,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,1
88,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,5,0,0,0,0,0
89,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0
90,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,3,0,4,0,0,0
91,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,0,0,0,0,1,5,0,0
92,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,3,0
93,0,0,0,0,3,0,0,0,0,0,0,4,0,2,1,0,0,5,0,0,0,0,0
94,0,0,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0
95,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0
96,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,5,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,2,5,0,0,0,0
98,0,3,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
99,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,5,0,2,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
101,0,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,1,0,0
102,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,1,0,0,0,0,0
103,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,4,0
104,0,0,0,0,0,0,0,4,0,1,3,0,0,0,2,0,0,0,0,0,5,0,0
105,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,5,0,0
106,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,3,1,0,4
107,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0
108,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,3,0,0,0,0,0
109,0,0,0,0,0,3,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,5,0
110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,2,0,4
111,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,3,0,0,5
112,0,0,0,0,4,5,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
113,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,5,0,0,1,0,0,0
114,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
115,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,5
116,4,0,0,0,0,2,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0
117,0,0,0,0,0,0,0,1,0,4,2,5,0,0,0,0,0,0,3,0,0,0,0
118,0,0,2,0,1,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,0,0
119,0,1,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,3,0,0
120,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,3,0,0,0
121,0,0,0,0,2,0,0,4,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0
122,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4
123,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0
124,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0
125,1,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,0,2,0,0,0,0,0
